	cancer	sample	D_APOBEC_inRloops	D_APOBEC_outsideRloops
120	CESC	3269608c-5dd7-452a-976a-31ac971aac2f	6.650966461942464e-06	9.814868716588681e-06
121	CESC	43be43cb-a367-4a74-94e4-973acafcf576	2.619185907579112e-05	2.8611720465025005e-05
122	CESC	7bc3209f-b349-49bf-9b3d-44ef870b586f	3.5314866169606003e-06	4.035600781820805e-06
123	CESC	7dc3e035-c7ae-4164-a62b-9c2460812b05	1.2948784262188867e-05	1.1810199169961106e-05
124	CESC	801e67c8-c506-410a-bdf0-856a66e974f4	1.1653905835969981e-05	1.3008595838653253e-05
125	CESC	842df341-d34f-4ed6-928c-eaf15bf7f667	1.3537365365015634e-06	1.6567833944668929e-06
126	CESC	8be2b0f5-7bad-4720-b13c-e95b32bdb933	1.077103418172983e-05	1.4767242949958978e-05
127	CESC	945e6808-2887-4f32-ac32-8f9e00353bf6	3.4726285066779235e-06	5.096181833613354e-06
128	CESC	9ff21093-58d7-4b69-aade-c242a383ea56	4.355500160918073e-06	5.425740917503695e-06
129	CESC	a67f4531-99ef-43df-82f5-f6abc4b11826	4.94408126374484e-06	4.122484540300985e-06
130	CESC	b3b3a27c-ee9a-42af-a6d1-9af5970a98b9	2.0600338598936836e-06	2.5196289959252385e-06
131	CESC	b9d1a64e-d445-4174-a5b4-76dd6ea69419	3.060621734699187e-06	6.183726810451477e-06
132	CESC	e07991a4-0901-4ed1-8704-aa376565d862	1.4596811350103814e-05	1.3392082772634741e-05
133	CESC	f658c350-fb89-4268-8a59-a07e365f4221	6.88639890307317e-06	9.919728425099245e-06
134	HNSC	02c6a893-49c5-49d1-8eb1-195021e70d52	1.6480270879149468e-06	2.1601099953175944e-06
135	HNSC	08227616-02a5-46e8-9db1-f2d1d691ab23	7.474980005899937e-06	1.5054858150445093e-05
136	HNSC	0e6ca8dc-0f31-4675-95b1-5920576daeff	2.001175749611007e-06	3.6131659561068224e-06
137	HNSC	1727e88b-df0a-4af2-9191-8c6061d98ad0	3.825777168373984e-06	5.2609613755585245e-06
138	HNSC	190eb791-383d-4e27-870d-e470630843e7	1.4714527570669168e-05	1.9399046074454126e-05
139	HNSC	1aff91a6-1b0f-4575-8f4b-4e064a50b886	5.768094807702313e-06	7.34617157908286e-06
140	HNSC	1db83e80-bdf7-4d8d-8008-bd8406d641fc	1.3655081585580987e-05	1.6687673611538142e-05
141	HNSC	1fff8b62-534b-4d71-a65f-e5f93b8b50ed	7.2395475647692305e-06	1.3362122855917437e-05
142	HNSC	21205681-a0c7-48d0-81d4-0b7ef31158cf	5.6503785871369605e-05	0.00010391297514229604
143	HNSC	29fc38aa-f367-46a3-a14d-a5f657ad0caa	2.3543244113070666e-06	3.1937271220645714e-06
144	HNSC	3e604a1c-b95f-44ff-9723-e2fac845da3b	1.324307481360225e-05	3.0822762318762013e-05
145	HNSC	46d35b82-e1b7-4d35-be5e-3a70fd47e421	3.6786318926672916e-05	5.00001050095081e-05
146	HNSC	5046f1b4-9d95-4841-ba30-691fa44719a2	1.659798709971482e-05	2.5444957268006005e-05
147	HNSC	5193a482-6ed9-4504-bd7c-c8b9e4103577	0.00010282511866383614	9.665069133002164e-05
148	HNSC	54e78de0-d357-4125-a904-ab35e461572b	4.355500160918073e-06	6.132794952032061e-06
149	HNSC	6bbd66dd-efee-4d6e-b02f-f88e98526b82	4.76750693289681e-06	7.397103437502276e-06
150	HNSC	7158c9fd-a633-4fef-aa23-bd285f2a87a8	4.473216381483427e-06	4.053576731851187e-06
151	HNSC	7e584ff6-0b81-4f85-81da-b8117afee326	3.060621734699187e-06	4.727674857990519e-06
152	HNSC	81598359-24d5-4a8b-a6e6-7a6f94289119	5.650378587136961e-06	7.2922437289917134e-06
153	HNSC	8294a969-59a1-4d3b-895b-f07e96bf9f7a	4.708648822614133e-06	8.143105363763138e-06
154	HNSC	83eca7b5-45bb-44c0-8afe-36f8988d0078	1.8128297967064413e-05	2.9255858674447034e-05
155	HNSC	878a7fe7-20ff-4651-9587-b4d6fd42e929	2.530898742155097e-06	3.0648994801801655e-06
156	HNSC	9988eb07-01f6-4f83-8699-bb63e0525f08	7.121831344203877e-06	1.909944690728109e-05
157	HNSC	a0fe80e0-e3ac-485b-8a1a-4c80c101b874	3.1194798449818633e-06	6.687053411302179e-06
158	HNSC	a315b798-f037-48d5-91ed-e733e3bbd6ee	5.944669138550343e-06	9.970660283518661e-06
159	HNSC	a8041e86-071e-46cd-8fb5-7ecdc1ab0553	5.356088035723577e-06	6.20769474382532e-06
160	HNSC	ab923db7-54e8-4a50-b7fd-c2b4b300041e	2.4602690098158847e-05	3.763265138860514e-05
161	HNSC	b537bc07-9998-49f4-bbbe-5b617152bfd9	2.8840474038511567e-06	5.042253983522207e-06
162	HNSC	b86e88e7-0d5f-4b32-a35f-dc97251ab990	9.593871976076296e-06	9.554217441148141e-06
163	HNSC	c0812962-a345-48b7-aec0-01336c2d1eed	1.58916897763227e-06	2.4686971375058225e-06
164	HNSC	c121de15-78f7-4698-91bf-fd0485c466c2	1.7657433084803002e-07	3.924749089966781e-07
165	HNSC	c2124bb2-30e1-4093-9a8a-3a188a6dc0a9	3.943493388939336e-06	5.929067518354396e-06
166	HNSC	c76f7fcc-2748-4b6d-805e-d21652dd5e3a	1.4420237019255784e-05	2.2964276163813262e-05
167	HNSC	d25a4c65-9cb4-4611-909e-e68f93408d84	5.944669138550343e-06	1.2064858462058188e-05
168	HNSC	d3709eea-ca2a-49ac-b79c-871a5473d450	2.7310163171161974e-05	2.7002872937305797e-05
169	HNSC	d4b80307-abbd-48bb-b52c-6dcd409699a2	2.001175749611007e-06	3.0169636134324795e-06
170	HNSC	dd67dec6-35dd-4efe-b913-ed4884855365	3.237196065547217e-06	4.6647590328841815e-06
171	HNSC	de8ef60b-4dbe-4aa8-adef-6f58cdfada29	4.296642050635397e-06	1.0488966842728015e-05
172	HNSC	dfa20d2d-1ba3-476a-b4b9-21d21470bee2	0.0001326661805771532	0.00011267325479043564
173	HNSC	e2b5c926-491d-430d-8d9c-5c73d7752d1b	7.533838116182614e-06	2.3147031655788814e-05
174	HNSC	e52ffa79-557a-4024-81f3-f3826c227ec5	2.124777781204628e-05	3.429811265796924e-05
175	HNSC	ee963667-56b1-49bd-8896-e07b536d3014	2.11889197017636e-06	2.399789329056024e-06
